Participant ID,Timestamp,Global Time (seconds),Note
3001,2026-01-08 10:01:48.048,442,"In the beginning of the session it took. 4 min to factory reset the device."
3001,2026-01-08 10:13:25.388,1139,"At 17.5 min into the protocol, Spotify music started playing unprompted, on the glasses."
3001,2026-01-08 10:15:20.465,1254,"The fix for the Spotify issue is that the application was open on the phone so to stop the issue participant had closed out of application."
3001,2026-01-08 10:22:35.525,1689,"While recording a video participant was having a hard time getting meta to stop recording the first time."
3001,2026-01-08 10:23:22.460,1736,"The photo quality of the videos/ pictures are not the best."
3001,2026-01-08 10:31:43.870,2238,"In closer analysis between the two pairs of glasses. Participant is noticing that the gen 2 glasses fits what they would be looking for in a day to day use."
3001,2026-01-08 10:33:24.349,2338,"While asking meta a question about a movie playing in the theater, meta was not able to give the proper information and asked to refrained the theaters website."
3001,2026-01-08 10:37:07.360,2561,"At min 38 of the protocol, meta was not responding to the command of participant."
3001,2026-01-08 10:43:02.958,2917,"Meta is not very descriptive when it come down to explaining certain questions. 

Example: Sports scores"
3001,2026-01-08 10:49:26.748,3301,"Participant is stating that the meta will talk more in dept about the topics they are not interested in, compared to others that they are interested in."
3001,2026-01-08 11:07:02.169,4356,"When asking meta to play Spotify, meta said “resume Spotify” and started playing a whole new song."
3001,2026-01-08 11:15:35.588,4869,"While sending message through WhatsApp meta stopped listening the participants questions."
