Participant ID,Timestamp,Global Time (seconds),Note
1082,2026-01-15 14:35:40.101,118,"User is starting capturing photos and sending media on WhatsApp."
1082,2026-01-15 14:36:24.881,163,"User began activity on couch but now is walking around looking at things to take pictures of."
1082,2026-01-15 14:36:46.822,185,"User is interested in reading the books while taking pictures."
1082,2026-01-15 14:38:04.497,263,"User mentions that the second session is always harder on the eyes because of going outside during lunch and being in the sun before coming back in."
1082,2026-01-15 14:43:05.900,564,"User took a picture and sent the photo without issue."
1082,2026-01-15 14:46:27.536,766,"User is taking pictures of the photos in photography books."
1082,2026-01-15 14:49:51.371,969,"User received a text and misheard it through the glasses."
1082,2026-01-15 14:50:00.684,979,"User switched to the light green chair."
1082,2026-01-15 14:50:21.094,999,"User is beginning to take pictures of different objects at different angles."
1082,2026-01-15 14:51:34.470,1072,"User had a coffee over the break and is much more energized and focused on the activity."
1082,2026-01-15 14:55:52.289,1330,"User couldn’t tell if a video was recording. Moderator let user know that light was blinking-signifying recording in progress."
1082,2026-01-15 14:56:52.694,1391,"User wishes it would tell them that the video recording is starting. Wants a countdown to begin recording."
1082,2026-01-15 14:57:23.585,1422,"Meta can only send video media that is less than 15 seconds long."
1082,2026-01-15 15:03:33.568,1792,"Switching to Meta Ai scavenger hunt."
1082,2026-01-15 15:03:47.347,1805,"User is again seated on the couch."
1082,2026-01-15 15:05:07.303,1885,"Hey Meta is stuck on previous subject, user is trying to get it to play a sample from an album they are looking at."
1082,2026-01-15 15:07:19.677,2018,"Meta Ai played a song by the correct singer but it isn’t a song from the album user was looking at."
1082,2026-01-15 15:11:02.377,2240,"User is cupping hand to the right ear to hear the glasses better."
1082,2026-01-15 15:12:17.431,2315,"“The sound broke up a little bit but if I cup my hand to my ear I hear it better.”"
1082,2026-01-15 15:12:42.343,2340,"Moderator taught user how to raise the volume of the glasses."
1082,2026-01-15 15:16:14.856,2553,"Glasses started playing the Christmas music from the earlier question randomly. User is surprised. Trying to figure out how to pause it but also realized it was playing the whole time. User just couldn’t hear it."
1082,2026-01-15 15:26:43.535,3182,"User is still struggling to hear through the glasses."
1082,2026-01-15 15:27:31.903,3230,"User is having trouble figuring out the volume."
1082,2026-01-15 15:28:18.937,3277,"User used both hands to swipe both arms of the glasses with 2 fingers on each hand to raise volume."
1082,2026-01-15 15:28:59.712,3318,"User said it worked but glasses said it was raised to 11 volume. User asked meta to lower volume to 8. It did not work."
1082,2026-01-15 15:36:20.137,3758,"Switching activities to listening to music on Spotify while messaging on WhatsApp."
1082,2026-01-15 15:36:36.963,3775,"User switched to the dark green chair."
1082,2026-01-15 15:37:16.753,3815,"“It has good sound, crisp and clear.”"
1082,2026-01-15 15:38:09.584,3868,"User has volume on pretty high up, moderator can hear it from the couch."
1082,2026-01-15 15:38:46.791,3905,"User is double checking the glasses’ accuracy in forming messages by looking on the phone."
1082,2026-01-15 15:41:39.803,4078,"User keeps referring to the phone to read messages."
1082,2026-01-15 15:49:40.769,4559,"User says messages are being read aloud, even the long ones. If user isn’t paying attention then they miss the message and have to read it on the phone."
1082,2026-01-15 15:55:30.522,4909,"“It went a little cuckoo right now” messages keep misinterpreting user and sending accidental messages."
1082,2026-01-15 15:56:26.552,4965,"User removed shoes because they are making user feel uncomfortable and in pain."
1082,2026-01-15 15:59:21.816,5140,"User is singing along to the music, dancing a bit."
1082,2026-01-15 16:03:50.992,5409,"User is moving to the further edge of the couch to begin maps activity."
1082,2026-01-15 16:05:12.452,5490,"User doesn’t like the light green chair because it isn’t comfortable which is why user switched to the right edge of the couch instead."
1082,2026-01-15 16:18:49.124,6307,"User is switching to Meta Ai scavenger hunt activity."
1082,2026-01-15 16:19:17.708,6336,"User is switching to the other edge of the couch. Leftmost side."
1082,2026-01-15 16:31:15.246,7053,"“The sound is good. Meta’s voice was clear. Good volume once I figured out the controls “"
1082,2026-01-15 16:31:41.905,7080,"“Meta was thorough at hearing me while doing messages and Ai scavenger hunt.”"
1082,2026-01-15 16:32:01.013,7099,"“Glasses could use more bass in the music”"
